model_bigg_id	bigg_id	name	organism
e_coli_core	b2779	eno	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2914	rpiA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2925	fbaA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2926	pgk	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2935	tktA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2975	glcA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2976	glcB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2987	pitB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3114	tdcE	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3115	tdcD	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3212	gltB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3213	gltD	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3236	mdh	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3386	rpe	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3403	pck	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3493	pitA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3528	dctA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3603	lldP	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3612	gpmM	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3731	atpC	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3732	atpD	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3733	atpG	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3734	atpA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3735	atpH	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3736	atpF	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3737	atpE	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3738	atpB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3739	atpI	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3870	glnA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3916	pfkA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3919	tpiA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3925	glpX	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3951	pflD	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3952	pflC	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3956	ppc	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b3962	sthA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4014	aceB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4015	aceA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4025	pgi	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4077	gltP	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4090	rpiB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4122	fumB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4151	frdD	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4152	frdC	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4153	frdB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4154	frdA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4232	fbp	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4301	sgcE	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b4395	ytjC	Escherichia coli str. K-12 substr. MG1655
iAB_RBC_283	ABCG2	ABCG2	Homo sapiens
iAB_RBC_283	Acp1_AT1	ACP1	Homo sapiens
iAB_RBC_283	Acp1_AT2	ACP1	Homo sapiens
iAB_RBC_283	Acp1_AT3	ACP1	Homo sapiens
iAB_RBC_283	Acsl1_AT1	ACSL1	Homo sapiens
iAB_RBC_283	Ada_AT1	ADA	Homo sapiens
iAB_RBC_283	Adcy1_AT1	ADCY1	Homo sapiens
iAB_RBC_283	Adcy2_AT1	ADCY2	Homo sapiens
iAB_RBC_283	Adcy3_AT1	ADCY3	Homo sapiens
iAB_RBC_283	Adcy4_AT1	ADCY4	Homo sapiens
iAB_RBC_283	Adcy5_AT1	ADCY5	Homo sapiens
iAB_RBC_283	Adcy6_AT1	ADCY6	Homo sapiens
iAB_RBC_283	Adcy6_AT2	ADCY6	Homo sapiens
iAB_RBC_283	Adcy7_AT1	ADCY7	Homo sapiens
iAB_RBC_283	Adcy8_AT1	ADCY8	Homo sapiens
iAB_RBC_283	Adcy9_AT1	ADCY9	Homo sapiens
iAB_RBC_283	ADI1	ADI1	Homo sapiens
iAB_RBC_283	Adk_AT1	ADK	Homo sapiens
iAB_RBC_283	Adk_AT2	ADK	Homo sapiens
iAB_RBC_283	Agpat1_AT1	AGPAT1	Homo sapiens
iAB_RBC_283	Agpat2_AT1	AGPAT2	Homo sapiens
iAB_RBC_283	Agpat3_AT1	AGPAT3	Homo sapiens
iAB_RBC_283	Agpat3_AT2	AGPAT3	Homo sapiens
iAB_RBC_283	Agpat4_AT1	AGPAT4	Homo sapiens
iAB_RBC_283	Agpat5_AT1	AGPAT5	Homo sapiens
iAB_RBC_283	Agpat6_AT1	AGPAT6	Homo sapiens
iAB_RBC_283	Ahcy_AT1	AHCY	Homo sapiens
iAB_RBC_283	Ak1_AT1	AK1	Homo sapiens
iAB_RBC_283	Akr1a1_AT1	AKR1A1	Homo sapiens
