metabolite	model	abbreviation	equation	lowbnd	uppbnd	obj_coef
L-Isoleucine_C6H13NO2	global	EX L-Isoleucine_C6H13NO2	L-Isoleucine_C6H13NO2[E] <=>	-1	10000	0
L-Lactate	global	EX L-Lactate	L-Lactate[E] <=>	-1	10000	0
L-Leucine_C6H13NO2	global	EX L-Leucine_C6H13NO2	L-Leucine_C6H13NO2[E] <=>	-1	10000	0
L-Methionine_C5H11NO2S	global	EX L-Methionine_C5H11NO2S	L-Methionine_C5H11NO2S[E] <=>	-1	10000	0
L-Proline_C5H9NO2	global	EX L-Proline_C5H9NO2	L-Proline_C5H9NO2[E] <=>	-1	10000	0
L-Rhamnose	global	EX L-Rhamnose	L-Rhamnose[E] <=>	-1	10000	0
L-Serine_C3H7NO3	global	EX L-Serine_C3H7NO3	L-Serine_C3H7NO3[E] <=>	-1	10000	0
L-Threonine_C4H9NO3	global	EX L-Threonine_C4H9NO3	L-Threonine_C4H9NO3[E] <=>	-1	10000	0
L-Tryptophan_C11H12N2O2	global	EX L-Tryptophan_C11H12N2O2	L-Tryptophan_C11H12N2O2[E] <=>	-1	10000	0
L-Tyrosine_C9H11NO3	global	EX L-Tyrosine_C9H11NO3	L-Tyrosine_C9H11NO3[E] <=>	-1	10000	0
L-Valine_C5H11NO2	global	EX L-Valine_C5H11NO2	L-Valine_C5H11NO2[E] <=>	-1	10000	0
	global	EX L-Xylulose	L-Xylulose[E] <=>	-1	10000	0
Lactose	global	EX Lactose	Lactose[E] <=>	-10	10000	0
Levan	global	EX Levan	Levan[E] <=>	0	10000	0
magnesium_Mg	global	EX magnesium_Mg	magnesium_Mg[E] <=>	0	10000	0
Maltohexaose	global	EX Maltohexaose	Maltohexaose[E] <=>	0	10000	0
Maltopentaose	global	EX Maltopentaose	Maltopentaose[E] <=>	0	10000	0
Maltose	global	EX Maltose	Maltose[E] <=>	0	10000	0
Maltotetraose_C24H42O21	global	EX Maltotetraose_C24H42O21	Maltotetraose_C24H42O21[E] <=>	0	10000	0
Maltotriose	global	EX Maltotriose	Maltotriose[E] <=>	0	10000	0
Mannan	global	EX Mannan	Mannan[E] <=>	0	10000	0
Melibiose	global	EX Melibiose	Melibiose[E] <=>	0	10000	0
Methane	global	EX Methane	Methane[E] <=>	0	10000	0
Methanol	global	EX Methanol	Methanol[E] <=>	0	10000	0
Mn2+_	global	EX Mn2+_	Mn2+_[E] <=>	0	10000	0
